                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0755,                 3.3465,                 1.5093,                0.04571,                0.77419,                0.35311,                0.12285,                 1.7284,                 3.1521,                  1.434,             0.00064706,             0.00064706,             0.00064706
                      2,                 1.8587,                 2.3774,                 1.3569,                 0.7384,                 0.6129,                0.60233,                0.25584,                 2.3606,                 1.6497,                 1.8821,              0.0012877,              0.0012877,              0.0012877
                      3,                 1.8212,                  1.427,                 1.3056,                0.58144,                0.70968,                0.57083,                 0.2443,                 2.2432,                  2.509,                 1.8833,               0.001902,               0.001902,               0.001902
                      4,                 1.6819,                 1.1341,                 1.2759,                0.43946,                0.58065,                0.47403,                0.22517,                 2.0565,                 4.3788,                 1.7626,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6152,                0.98927,                 1.2589,                0.69793,                0.64516,                0.64898,                0.25379,                 2.1525,                 1.4305,                 1.8158,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5162,                0.93299,                 1.2325,                0.66668,                 0.6129,                0.69269,                0.33335,                 1.7183,                 1.4066,                 1.6264,               0.001802,               0.001802,               0.001802
                      7,                 1.5132,                0.92614,                 1.2381,                0.72356,                0.80645,                0.80597,                0.40757,                 1.7538,                 1.0725,                 1.3951,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.425,                0.86653,                 1.2035,                0.81503,                 0.6129,                0.77971,                0.38178,                 1.8688,                 1.2904,                   1.48,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4316,                0.86615,                 1.2052,                0.70565,                0.69627,                 0.7763,                  0.337,                 1.8943,                 1.4056,                 1.4679,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3909,                 0.8338,                 1.1941,                0.72756,                0.77536,                0.79361,                0.36811,                 1.7756,                 1.0421,                 1.4483,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3831,                0.83684,                 1.1869,                0.62348,                0.67742,                0.73024,                0.40513,                 1.6767,                  1.121,                  1.294,               0.001604,               0.001604,               0.001604
                     12,                 1.3835,                0.83051,                 1.1874,                0.84199,                 0.8597,                0.89013,                0.44222,                 1.7687,                 1.0652,                 1.4626,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3466,                0.82087,                  1.171,                0.83502,                0.64516,                0.77779,                0.45163,                 1.7179,                 1.0973,                 1.4274,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.365,                0.80967,                 1.1856,                0.82106,                0.88835,                 0.9199,                0.48638,                 1.6487,                 0.9838,                 1.3495,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2956,                 0.8009,                 1.1662,                0.85073,                0.70968,                0.80068,                0.42936,                 1.6277,                 1.0937,                 1.2879,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3018,                 0.7692,                 1.1659,                0.66453,                0.74194,                0.72673,                0.32648,                 1.9136,                 1.1765,                 1.4846,               0.001406,               0.001406,               0.001406
                     17,                 1.3146,                0.80041,                 1.1773,                0.74119,                0.83871,                0.85434,                0.40038,                 1.7959,                 1.0465,                 1.4748,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2902,                 0.7766,                 1.1647,                0.81394,                0.90323,                0.87104,                0.43255,                 1.7861,                0.90866,                 1.4105,              0.0013268,              0.0013268,              0.0013268
